trial_index,block,condition,left_stim,right_stim,target_position,expected_key,reward_left,reward_right,green_probability
0, first, vf, blue, green, green, right, 44, 37, 0.7
1, first, vf, blue, green, blue, left, 47, 12, 0.7
2, first, vf, blue, green, blue, left, 64, 72, 0.7
3, first, vf, blue, green, green, right, 67, 9, 0.7
4, first, vf, green, blue, green, left, 67, 75, 0.7
5, first, vf, blue, green, green, right, 9, 5, 0.7
6, first, vf, blue, green, blue, left, 83, 79, 0.7
7, first, vf, blue, green, green, right, 21, 64, 0.7
8, first, vf, green, blue, green, left, 36, 16, 0.7
9, first, vf, blue, green, green, right, 87, 1, 0.7
10, first, vf, green, blue, blue, right, 70, 76, 0.7
11, first, vf, green, blue, green, left, 88, 71, 0.7
12, first, vf, green, blue, green, left, 88, 6, 0.7
13, first, vf, green, blue, green, left, 12, 25, 0.7
14, first, vf, blue, green, green, right, 58, 50, 0.7
15, first, vf, green, blue, green, left, 65, 20, 0.7
16, first, vf, blue, green, green, right, 39, 18, 0.7
17, first, vf, green, blue, blue, right, 87, 84, 0.7
18, first, vf, green, blue, blue, right, 46, 11, 0.7
19, first, vf, blue, green, green, right, 88, 28, 0.7
20, first, vf, green, blue, green, left, 81, 29, 0.3
21, first, vf, green, blue, blue, right, 37, 14, 0.3
22, first, vf, green, blue, blue, right, 25, 50, 0.3
23, first, vf, blue, green, blue, left, 77, 68, 0.3
24, first, vf, green, blue, green, left, 72, 87, 0.3
25, first, vf, green, blue, blue, right, 9, 87, 0.3
26, first, vf, blue, green, blue, left, 20, 94, 0.3
27, first, vf, green, blue, blue, right, 80, 96, 0.3
28, first, vf, blue, green, blue, left, 69, 86, 0.3
29, first, vf, blue, green, blue, left, 79, 13, 0.3
30, first, vf, green, blue, green, left, 47, 9, 0.3
31, first, vf, blue, green, blue, left, 64, 7, 0.3
32, first, vf, green, blue, blue, right, 82, 63, 0.3
33, first, vf, blue, green, green, right, 88, 61, 0.3
34, first, vf, green, blue, blue, right, 49, 22, 0.3
35, first, vf, blue, green, blue, left, 29, 57, 0.3
36, first, vf, green, blue, green, left, 19, 1, 0.3
37, first, vf, green, blue, blue, right, 19, 0, 0.3
38, first, vf, blue, green, blue, left, 14, 60, 0.3
39, first, vf, blue, green, blue, left, 39, 81, 0.3
40, first, vf, blue, green, blue, left, 32, 8, 0.3
41, first, vf, green, blue, blue, right, 65, 88, 0.3
42, first, vf, green, blue, blue, right, 9, 13, 0.3
43, first, vf, green, blue, green, left, 57, 47, 0.3
44, first, vf, blue, green, green, right, 32, 72, 0.3
45, first, vf, green, blue, blue, right, 31, 30, 0.3
46, first, vf, green, blue, green, left, 74, 71, 0.3
47, first, vf, green, blue, blue, right, 23, 3, 0.3
48, first, vf, blue, green, green, right, 35, 70, 0.3
49, first, vf, blue, green, blue, left, 75, 21, 0.3
50, first, vf, green, blue, green, left, 55, 49, 0.9
51, first, vf, green, blue, green, left, 28, 57, 0.9
52, first, vf, blue, green, blue, left, 34, 3, 0.9
53, first, vf, blue, green, green, right, 0, 68, 0.9
54, first, vf, green, blue, green, left, 0, 24, 0.9
55, first, vf, blue, green, green, right, 36, 43, 0.9
56, first, vf, green, blue, green, left, 53, 76, 0.9
57, first, vf, blue, green, green, right, 5, 26, 0.9
58, first, vf, green, blue, green, left, 38, 52, 0.9
59, first, vf, green, blue, green, left, 17, 80, 0.9
60, first, vf, blue, green, green, right, 79, 41, 0.9
61, first, vf, blue, green, green, right, 4, 82, 0.9
62, first, vf, green, blue, green, left, 42, 15, 0.9
63, first, vf, blue, green, green, right, 58, 64, 0.9
64, first, vf, blue, green, green, right, 31, 68, 0.9
65, first, vf, blue, green, green, right, 1, 25, 0.9
66, first, vf, blue, green, green, right, 65, 98, 0.9
67, first, vf, green, blue, blue, right, 41, 87, 0.9
68, first, vf, green, blue, green, left, 57, 7, 0.9
69, first, vf, green, blue, green, left, 35, 26, 0.9
70, first, vf, green, blue, blue, right, 11, 25, 0.1
71, first, vf, green, blue, blue, right, 46, 22, 0.1
72, first, vf, blue, green, blue, left, 82, 9, 0.1
73, first, vf, blue, green, blue, left, 91, 67, 0.1
74, first, vf, blue, green, blue, left, 0, 23, 0.1
75, first, vf, blue, green, blue, left, 14, 27, 0.1
76, first, vf, blue, green, blue, left, 53, 37, 0.1
77, first, vf, green, blue, blue, right, 12, 57, 0.1
78, first, vf, green, blue, blue, right, 42, 83, 0.1
79, first, vf, blue, green, blue, left, 84, 38, 0.1
80, first, vf, green, blue, blue, right, 75, 8, 0.1
81, first, vf, blue, green, blue, left, 68, 32, 0.1
82, first, vf, blue, green, blue, left, 6, 34, 0.1
83, first, vf, green, blue, green, left, 68, 10, 0.1
84, first, vf, green, blue, blue, right, 47, 23, 0.1
85, first, vf, green, blue, blue, right, 3, 15, 0.1
86, first, vf, green, blue, green, left, 76, 87, 0.1
87, first, vf, blue, green, blue, left, 52, 25, 0.1
88, first, vf, blue, green, blue, left, 78, 71, 0.1
89, first, vf, blue, green, blue, left, 15, 92, 0.1
90, first, vf, blue, green, blue, left, 20, 74, 0.1
